session_page_id,location_id,shared,dummy_mobile,dummy_desktop,shareability,nugget_pvs,prev_subscribe,prev_share_count,prev_pv_count,prev_sessions,avg_pvs_per_prev_session,delta_created,cur_pv_count
be841260b7a2ed10e52fe6e1002a00ba,5613c812088a04002b000002,no_shared,1,0,0.0089362,801683,0,0,13,12,1.083333333,14514,1
3e63cb35cc85906d0e16cc33f2c1f854,5613d3058586e1002e000025,shared,0,1,0.020965611,85521,0,8,83,74,1.121621622,7003,1
02222df64bf15dc1ee972fc77889e4c1,5602d1906366300019190600,no_shared,1,0,0.007847471,89583,0,0,26,26,1,3534,1
7223c514a429e0864651dc0b695ffe0e,5612c871b5bb9b002900009e,no_shared,1,0,0.020838,683079,0,0,105,90,1.166666667,8129,1
d006e2bed17871fbc519619506628cde,5612c871b5bb9b002900009e,no_shared,1,0,0.020838,683079,0,0,7,7,1,2218,1
dd6c188f2b9d77919753896f0540638b,5603ffd23738360019810500,shared,1,0,0.027937551,46246,0,0,58,55,1.054545455,1618,0
75ceb4b3b9f451f41707cfb77ecb6d66,560552883434631a75b40200,shared,1,0,0.017952128,7520,0,0,1,1,1,2686,1
10125578058b525a1703d151eb8e7bcb,51daf9815c02440f7a0062de,no_shared,0,1,0.020452965,376718,0,0,0,0,0,0,1
56a5b19f0f4c4ca40a476686ed722bdf,560edde2c4a1aa001c000118,no_shared,1,0,0.02008453,58204,0,0,23,23,1,2869,1
c72a9007ec1a2684b2310787c7664b86,55830f55646432000c640000,shared,1,0,0.009417842,76663,0,0,1,1,1,1240,1
74bcd1f6b28b502aab6b047501495f62,5612d6da48651400340000f8,no_shared,1,0,0.013626881,1051231,0,0,0,0,0,0,1
199ce16efad1c305644ce609a1e27324,561212474f5024001f000008,no_shared,0,1,0.020610464,54778,0,0,18,17,1.058823529,910,2
240727298dcbd9fc712c8f989e2879a7,5615770c3b1fa8001800017a,shared,1,0,0.009950424,256170,0,0,24,22,1.090909091,11744,1
4fd6ff963f7b2a33d839d452418a92b4,5616aa4e7f4fb5001b000003,no_shared,1,0,0.019513695,84556,0,5,101,94,1.074468085,3642,1
7d3e4da9c228847d22677fb1234a85a4,56143451f032f2001c000001,shared,1,0,0.018474892,120975,0,0,13,8,1.625,370,1
59ae1f29558246aec7025f50978bc133,5612d6da48651400340000f8,shared,1,0,0.013626881,1051231,0,0,0,0,0,0,1
04492fda8008b0b0954b1b411252592a,55e9eed86338630025190500,shared,0,0,0.048029617,20529,0,3,18,6,3,6997,1
11a114085ebecb3f48c694a2b8643e39,5612d6da48651400340000f8,no_shared,0,1,0.013626881,1051231,0,0,0,0,0,0,1
052412b3f9d0af1bf18d45d341114aa4,5612d6da48651400340000f8,no_shared,1,0,0.013626881,1051231,0,0,11,10,1.1,7330,2
ed8cda25f52b233766f684043fa96f95,561538f263fd0c00220000f6,shared,0,1,0.010840879,24629,0,0,2,1,2,51,2
1686588064d1a0fc0ba22f3b5908665c,5612d6da48651400340000f8,no_shared,1,0,0.013626881,1051231,0,0,0,0,0,0,1
